School Name,Region,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary,States
University of Central Florida (UCF),Southern,"$42,600.00 ","$71,700.00 ","$39,500.00 ","$51,500.00 ","$98,400.00 ","$125,000.00 ",IA
University Of Chicago,Midwestern,"$53,400.00 ","$113,000.00 ","$62,200.00 ","$83,300.00 ","$174,000.00 ","$255,000.00 ",PA
University of Colorado - Boulder (UCB),Western,"$47,100.00 ","$97,600.00 ","$51,600.00 ","$69,000.00 ","$128,000.00 ","$187,000.00 ",FL
University of Colorado - Denver,Western,"$46,100.00 ","$84,400.00 ","$46,400.00 ","$58,600.00 ","$105,000.00 ","$144,000.00 ",CO
University of Connecticut (UConn),Northeastern,"$48,000.00 ","$88,800.00 ","$46,100.00 ","$66,400.00 ","$120,000.00 ","$162,000.00 ",CT
University of Delaware,Southern,"$45,900.00 ","$84,500.00 ","$44,500.00 ","$64,000.00 ","$119,000.00 ","$165,000.00 ",DE
University of Florida (UF),Southern,"$47,100.00 ","$87,900.00 ","$45,400.00 ","$62,900.00 ","$120,000.00 ","$172,000.00 ",CO
University of Georgia (UGA),Southern,"$44,100.00 ","$86,000.00 ","$43,100.00 ","$57,800.00 ","$118,000.00 ","$164,000.00 ",AR
University of Hawaii,Western,"$43,800.00 ","$76,000.00 ","$40,400.00 ","$56,300.00 ","$104,000.00 ","$128,000.00 ",HI
University of Houston (UH),Southern,"$46,000.00 ","$79,900.00 ","$42,000.00 ","$56,200.00 ","$106,000.00 ","$141,000.00 ",CT
University of Idaho,Western,"$44,900.00 ","$82,000.00 ","$43,000.00 ","$56,700.00 ","$104,000.00 ","$142,000.00 ",ID
University of Illinois at Chicago,Midwestern,"$47,500.00 ","$81,700.00 ","$44,700.00 ","$58,800.00 ","$110,000.00 ","$146,000.00 ",MN
University of Illinois at Urbana-Champaign (UIUC),Midwestern,"$52,900.00 ","$96,100.00 ","$48,200.00 ","$68,900.00 ","$132,000.00 ","$177,000.00 ",PA
University of Iowa (UI),Midwestern,"$44,700.00 ","$83,900.00 ","$43,300.00 ","$61,100.00 ","$116,000.00 ","$163,000.00 ",IA
University of Kansas,Midwestern,"$42,400.00 ","$81,600.00 ","$44,800.00 ","$57,200.00 ","$115,000.00 ","$156,000.00 ",MA
University of Kentucky (UK),Southern,"$42,800.00 ","$78,300.00 ","$43,000.00 ","$57,300.00 ","$107,000.00 ","$149,000.00 ",OK
University of Louisiana (UL) at Lafayette,Southern,"$41,100.00 ","$76,300.00 ","$42,000.00 ","$54,500.00 ","$107,000.00 ","$163,000.00 ",SD
University Of Maine,Northeastern,"$41,200.00 ","$72,100.00 ","$41,700.00 ","$55,600.00 ","$99,300.00 ","$141,000.00 ",ME
University of Maryland Baltimore County (UMBC),Southern,"$47,000.00 ","$77,800.00 ","$46,900.00 ","$59,100.00 ","$105,000.00 ","$130,000.00 ",WA
"University of Maryland, College Park",Southern,"$52,000.00 ","$95,000.00 ","$50,400.00 ","$68,300.00 ","$126,000.00 ","$166,000.00 ",GA
University of Massachusetts (UMass) - Amherst,Northeastern,"$46,600.00 ","$88,200.00 ","$43,100.00 ","$61,300.00 ","$122,000.00 ","$168,000.00 ",MA
University of Massachusetts (UMass) - Boston,Northeastern,"$45,600.00 ","$78,200.00 ","$36,300.00 ","$53,800.00 ","$109,000.00 ","$151,000.00 ",MA
University of Massachusetts (UMass) - Dartmouth,Northeastern,"$43,200.00 ","$77,700.00 ","$43,300.00 ","$56,200.00 ","$107,000.00 ","$132,000.00 ",MA
University of Massachusetts (UMass) - Lowell,Northeastern,"$45,400.00 ","$86,600.00 ","$50,900.00 ","$65,000.00 ","$113,000.00 ","$158,000.00 ",MA
University of Memphis (U of M),Southern,"$41,400.00 ","$69,700.00 ","$36,100.00 ","$49,100.00 ","$93,500.00 ","$127,000.00 ",IN
University of Michigan,Midwestern,"$52,700.00 ","$93,000.00 ","$50,900.00 ","$69,400.00 ","$128,000.00 ","$182,000.00 ",IL
University of Minnesota,Midwestern,"$46,200.00 ","$84,200.00 ","$49,000.00 ","$63,200.00 ","$112,000.00 ","$148,000.00 ",NY
University of Mississippi,Southern,"$41,400.00 ","$79,700.00 ","$40,400.00 ","$53,500.00 ","$108,000.00 ","$186,000.00 ",MS
University of Missouri - Columbia,Midwestern,"$41,700.00 ","$81,000.00 ","$43,500.00 ","$57,100.00 ","$111,000.00 ","$156,000.00 ",MO
University of Missouri - Kansas City (UMKC),Midwestern,"$38,900.00 ","$65,800.00 ","$36,300.00 ","$48,100.00 ","$95,800.00 ","$124,000.00 ",OR
University of Missouri - Rolla (UMR),Midwestern,"$57,100.00 ","$95,800.00 ","$67,600.00 ","$80,400.00 ","$122,000.00 ","$166,000.00 ",MO
University of Missouri - St. Louis (UMSL),Midwestern,"$41,400.00 ","$67,100.00 ","$36,800.00 ","$49,600.00 ","$97,600.00 ","$144,000.00 ",MO
University of Montana,Western,"$37,300.00 ","$71,900.00 ","$37,000.00 ","$51,500.00 ","$96,400.00 ","$138,000.00 ",MT
University of Nebraska,Midwestern,"$45,700.00 ","$80,900.00 ","$42,200.00 ","$56,600.00 ","$113,000.00 ","$156,000.00 ",NJ
University of Nebraska at Omaha,Midwestern,"$41,500.00 ","$72,600.00 ","$39,500.00 ","$54,400.00 ","$97,400.00 ","$126,000.00 ",NE
"University of Nevada, Las Vegas (UNLV)",Western,"$45,200.00 ","$71,600.00 ","$39,000.00 ","$52,400.00 ","$100,000.00 ","$128,000.00 ",NV
"University of Nevada, Reno (UNR)",Western,"$46,500.00 ","$82,900.00 ","$41,900.00 ","$54,600.00 ","$113,000.00 ","$143,000.00 ",TX
University of New Hampshire (UNH),Northeastern,"$41,800.00 ","$78,300.00 ","$41,700.00 ","$56,400.00 ","$114,000.00 ","$147,000.00 ",PA
University of New Haven,Northeastern,"$44,400.00 ","$82,900.00 ","$48,500.00 ","$66,100.00 ","$113,000.00 ","$157,000.00 ",CT
University of New Mexico (UNM),Western,"$41,600.00 ","$81,600.00 ","$41,800.00 ","$59,100.00 ","$105,000.00 ","$141,000.00 ",NY
University of North Carolina at Chapel Hill (UNCH),Southern,"$42,900.00 ","$81,500.00 ","$43,400.00 ","$57,500.00 ","$117,000.00 ","$155,000.00 ",NC
University of North Carolina at Charlotte (UNCC),Southern,"$43,100.00 ","$74,000.00 ","$38,200.00 ","$53,200.00 ","$99,500.00 ","$133,000.00 ",AL
University of North Carolina at Wilmington (UNCW),Southern,"$37,500.00 ","$64,400.00 ","$32,100.00 ","$46,600.00 ","$97,100.00 ","$129,000.00 ",NC
University of North Dakota,Midwestern,"$44,000.00 ","$80,600.00 ","$43,400.00 ","$56,400.00 ","$111,000.00 ","$157,000.00 ",ND
University of Notre Dame,Midwestern,"$56,300.00 ","$116,000.00 ","$66,400.00 ","$85,100.00 ","$163,000.00 ","$235,000.00 ",IN
University of Oklahoma,Southern,"$44,700.00 ","$82,900.00 ","$41,200.00 ","$60,300.00 ","$114,000.00 ","$167,000.00 ",CA
University of Oregon,Western,"$42,200.00 ","$78,400.00 ","$38,100.00 ","$56,200.00 ","$117,000.00 ","$186,000.00 ",WI
University of Pennsylvania,Northeastern,"$60,900.00 ","$120,000.00 ","$55,900.00 ","$79,200.00 ","$192,000.00 ","$282,000.00 ",PA
University of Puget Sound,Western,"$46,600.00 ","$81,500.00 ","$48,900.00 ","$60,100.00 ","$104,000.00 ","$137,000.00 ",MT
University of Rhode Island (URI),Northeastern,"$43,900.00 ","$85,300.00 ","$45,400.00 ","$60,100.00 ","$112,000.00 ","$157,000.00 ",RI
University of Richmond,Southern,"$48,600.00 ","$94,600.00 ","$44,500.00 ","$59,400.00 ","$151,000.00 ","$211,000.00 ",CA
University of South Carolina,Southern,"$40,000.00 ","$71,700.00 ","$36,300.00 ","$49,900.00 ","$98,400.00 ","$131,000.00 ",OK
University of South Florida (USF),Southern,"$41,100.00 ","$71,100.00 ","$39,600.00 ","$51,500.00 ","$98,100.00 ","$131,000.00 ",LA
University of Southern California (USC),California,"$54,800.00 ","$99,600.00 ","$49,700.00 ","$73,800.00 ","$140,000.00 ","$201,000.00 ",CA
University of Southern Maine,Northeastern,"$39,400.00 ","$63,600.00 ","$40,400.00 ","$47,900.00 ","$85,700.00 ","$117,000.00 ",ME
University of Tennessee,Southern,"$43,800.00 ","$74,600.00 ","$41,900.00 ","$53,200.00 ","$106,000.00 ","$153,000.00 ",UT
University of Texas (UT) - Austin,Southern,"$49,700.00 ","$93,900.00 ","$50,100.00 ","$67,400.00 ","$129,000.00 ","$188,000.00 ",TX
University of Texas at Arlington (UTA),Southern,"$45,400.00 ","$80,800.00 ","$46,400.00 ","$61,200.00 ","$106,000.00 ","$138,000.00 ",AL
University of Texas at El Paso (UTEP),Southern,"$43,400.00 ","$72,100.00 ","$37,700.00 ","$50,400.00 ","$99,500.00 ","$133,000.00 ",OH
University of Texas at San Antonio (UTSA),Southern,"$42,500.00 ","$70,700.00 ","$39,100.00 ","$49,800.00 ","$92,700.00 ","$121,000.00 ",TX
University of Toledo,Midwestern,"$43,100.00 ","$75,900.00 ","$40,100.00 ","$54,100.00 ","$100,000.00 ","$133,000.00 ",NC
University of Tulsa,Southern,"$42,400.00 ","$88,700.00 ","$42,300.00 ","$60,300.00 ","$120,000.00 ","$197,000.00 ",KS
University of Utah,Western,"$45,400.00 ","$83,200.00 ","$43,000.00 ","$58,400.00 ","$116,000.00 ","$148,000.00 ",TX
University of Vermont (UVM),Northeastern,"$44,800.00 ","$82,700.00 ","$44,700.00 ","$58,000.00 ","$122,000.00 ","$194,000.00 ",VT
University of Virginia (UVA),Southern,"$52,700.00 ","$103,000.00 ","$52,200.00 ","$71,800.00 ","$146,000.00 ","$215,000.00 ",VA
University of Washington (UW),Western,"$48,800.00 ","$85,300.00 ","$47,000.00 ","$59,800.00 ","$115,000.00 ","$149,000.00 ",WA
University of Wisconsin (UW) - Eau Claire,Midwestern,"$41,400.00 ","$64,800.00 ","$35,000.00 ","$47,300.00 ","$93,100.00 ","$125,000.00 ",TN
University of Wisconsin (UW) - Green Bay,Midwestern,"$35,800.00 ","$60,600.00 ","$35,500.00 ","$46,800.00 ","$81,800.00 ","$102,000.00 ",WI
University of Wisconsin (UW) - La Crosse,Midwestern,"$42,200.00 ","$69,300.00 ","$37,500.00 ","$47,200.00 ","$93,100.00 ","$133,000.00 ",OR
University of Wisconsin (UW) - Madison,Midwestern,"$48,900.00 ","$87,800.00 ","$47,400.00 ","$62,400.00 ","$118,000.00 ","$170,000.00 ",NY
University of Wisconsin (UW) - Milwaukee,Midwestern,"$42,300.00 ","$74,600.00 ","$40,600.00 ","$54,000.00 ","$93,700.00 ","$123,000.00 ",MI
University of Wisconsin (UW) - Oshkosh,Midwestern,"$39,300.00 ","$66,400.00 ","$37,700.00 ","$49,700.00 ","$90,100.00 ","$138,000.00 ",WI
University of Wisconsin (UW) - Parkside,Midwestern,"$40,700.00 ","$71,400.00 ","$40,900.00 ","$53,100.00 ","$84,900.00 ","$119,000.00 ",WI
University of Wisconsin (UW) - Platteville,Midwestern,"$45,800.00 ","$78,500.00 ","$48,400.00 ","$61,200.00 ","$100,000.00 ","$139,000.00 ",WI
University of Wisconsin (UW) - Stevens Point,Midwestern,"$39,800.00 ","$64,000.00 ","$38,400.00 ","$45,100.00 ","$95,400.00 ","$128,000.00 ",WI
University of Wisconsin (UW) - Stout,Midwestern,"$43,600.00 ","$68,300.00 ","$40,900.00 ","$50,600.00 ","$91,600.00 ","$136,000.00 ",IL
University of Wisconsin (UW) - Whitewater,Midwestern,"$40,800.00 ","$75,500.00 ","$38,200.00 ","$53,500.00 ","$99,300.00 ","$150,000.00 ",ID
University of Wyoming (UW),Western,"$44,500.00 ","$78,700.00 ","$41,500.00 ","$54,000.00 ","$105,000.00 ","$145,000.00 ",WY
Ursinus College,Northeastern,"$42,100.00 ","$80,000.00 ","$35,600.00 ","$54,300.00 ","$100,000.00 ","$160,000.00 ",MA
Utah State University,Western,"$43,800.00 ","$78,700.00 ","$41,600.00 ","$55,400.00 ","$101,000.00 ","$132,000.00 ",TN
Utah Valley State College,Western,"$42,400.00 ","$67,100.00 ",,"$44,100.00 ","$84,900.00 ",,UT
Vanderbilt University,Southern,"$51,200.00 ","$104,000.00 ","$49,900.00 ","$68,100.00 ","$147,000.00 ","$222,000.00 ",TN
Vassar College,Northeastern,"$46,000.00 ","$94,600.00 ",,"$60,600.00 ","$123,000.00 ",,TX
Villanova University,Northeastern,"$55,800.00 ","$101,000.00 ","$56,800.00 ","$76,200.00 ","$156,000.00 ","$226,000.00 ",PA
Virginia Commonwealth University (VCU),Southern,"$42,000.00 ","$68,400.00 ","$37,400.00 ","$51,900.00 ","$100,000.00 ","$123,000.00 ",IL
Virginia Polytechnic Institute and State University (Virginia Tech),Southern,"$53,500.00 ","$95,400.00 ","$50,600.00 ","$71,400.00 ","$124,000.00 ","$163,000.00 ",CA
Virginia Wesleyan College (VWC),Southern,"$34,600.00 ","$54,900.00 ",,"$37,100.00 ","$88,900.00 ",,VA
Washington and Lee University,Southern,"$53,600.00 ","$104,000.00 ",,"$82,800.00 ","$146,000.00 ",,NY
Washington State University (WSU),Western,"$45,300.00 ","$84,700.00 ","$43,600.00 ","$59,000.00 ","$113,000.00 ","$162,000.00 ",WA
Wayne State University,Midwestern,"$42,800.00 ","$76,100.00 ","$40,100.00 ","$56,200.00 ","$101,000.00 ","$139,000.00 ",MI
Wellesley College,Northeastern,"$42,800.00 ","$83,500.00 ",,"$58,600.00 ","$125,000.00 ",,NY
Wentworth Institute of Technology,Northeastern,"$53,000.00 ","$96,700.00 ","$55,200.00 ","$74,000.00 ","$117,000.00 ","$153,000.00 ",MA
"Wesleyan University (Middletown, Connecticut)",Northeastern,"$46,500.00 ","$97,900.00 ","$42,000.00 ","$62,500.00 ","$126,000.00 ","$215,000.00 ",CT
West Virginia University (WVU),Southern,"$43,100.00 ","$78,100.00 ","$39,700.00 ","$55,700.00 ","$106,000.00 ","$141,000.00 ",WV
Western Carolina University,Southern,"$36,900.00 ","$66,600.00 ","$39,000.00 ","$49,500.00 ","$94,400.00 ","$133,000.00 ",TN
Western Michigan University (WMU),Midwestern,"$42,300.00 ","$73,800.00 ","$40,100.00 ","$52,500.00 ","$103,000.00 ","$135,000.00 ",WI
Western Washington University,Western,"$42,700.00 ","$75,400.00 ","$41,300.00 ","$56,700.00 ","$99,200.00 ","$119,000.00 ",WA
Whitman College,Western,"$43,500.00 ","$80,100.00 ",,"$64,800.00 ","$111,000.00 ",,OH
Widener University,Northeastern,"$52,900.00 ","$83,400.00 ","$42,600.00 ","$61,400.00 ","$106,000.00 ","$138,000.00 ",IL
Williams College,Northeastern,"$51,700.00 ","$102,000.00 ",,"$76,400.00 ","$143,000.00 ",,MA
Wittenberg University,Midwestern,"$39,200.00 ","$78,200.00 ",,"$54,100.00 ","$131,000.00 ",,AL
Worcester Polytechnic Institute (WPI),Northeastern,"$61,000.00 ","$114,000.00 ","$80,000.00 ","$91,200.00 ","$137,000.00 ","$180,000.00 ",MA
Yale University,Northeastern,"$59,100.00 ","$126,000.00 ","$58,000.00 ","$80,600.00 ","$198,000.00 ","$326,000.00 ",CT
